ID,Group,Feature_1,Feature_2,Feature_3
ID001,C,2508.787781449148,388.3565479403579,-2120.4312335087902
ID002,B,2525.459947843727,382.8203966205803,5050.919895687454
ID003,B,2667.3711367947058,393.71515411120083,5334.7422735894115
ID004,A,2575.5439637289073,408.4346012691193,5684.458884841126
ID005,C,2536.025082205306,412.1596494620309,-2123.865432743275
ID006,A,2469.1351139566395,402.661598370033,5394.097350019753
ID007,A,2518.9138365409713,402.7237482558458,5543.1227683436855
ID008,A,2303.283343729309,380.27411203920957,5008.479470991879
ID009,B,2223.6447026436517,415.97562256106426,4447.289405287303
ID010,C,2438.5806119654335,404.5074945922929,-2034.0731173731406
ID011,C,2285.8175099598407,405.5077562936441,-1880.3097536661967
ID012,A,2451.5525685651774,376.2580824605881,5473.367293392592
ID013,B,2682.976812901825,423.4148535192198,5365.95362580365
ID014,C,2448.8873125185064,395.4582724835857,-2053.429040034921
ID015,C,2663.9157059155273,391.5762905233158,-2272.3394153922113
ID016,B,2415.1895044221965,409.44493228520145,4830.379008844393
ID017,C,2301.857614896043,367.9284638111389,-1933.9291510849039
ID018,B,2656.4146210598474,389.76969307771316,5312.829242119695
ID019,B,2333.0482885158935,406.5714136416182,4666.096577031787
ID020,C,2490.435007782002,410.9618088970668,-2079.473198884935
ID021,B,2602.4516023620413,409.3176490411021,5204.903204724083
ID022,B,2519.7408444349176,402.9689704255625,5039.481688869835
ID023,C,2428.868051869051,369.1571171245265,-2059.710934744525
ID024,A,2775.663548587956,384.0318604776351,6406.831343375692
ID025,B,2435.931172649243,412.10828192618874,4871.862345298486
ID026,C,2543.3247406854753,428.42857797081837,-2114.896162714657
ID027,B,2528.2346255612097,384.20704689608317,5056.469251122419
ID028,A,2429.7604167588265,397.3240269584962,5302.661115483998
ID029,B,2652.2822257284693,418.4476924731545,5304.5644514569385
ID030,B,2546.369091304181,421.8833327734992,5092.738182608362
ID031,B,2621.6682409943933,409.13641952523096,5243.3364819887865
ID032,C,2493.2138442243204,405.32227095792206,-2087.891573266398
ID033,C,2540.7381538665886,376.60759082421384,-2164.130563042375
ID034,B,2273.006334213334,417.96835066866265,4546.012668426668
ID035,A,2450.9075536657638,389.4811308868415,5405.317006563084
ID036,C,2294.0280102816578,402.5666346186065,-1891.4613756630513
